task_id,task_type,title,order_no,customer_code,created_at,due_date,current_status,risk_level,suggested_bucket,suggested_action,reason,safe_to_auto_close,requires_damon_decision
t-mobecqy0-ah24,交期确认,请确认 38-XM-251 预计交货日期,38-xm-251,CN-00038,2026-04-23T11:27:03.528Z,,open,high,REAL_OPERATION_HIGH,ESCALATE_TODAY,手工创建真实运营任务，18天未处理，无due_at，高风险阻塞交期确认，工厂代码=td，action=confirm_ready_date，必须今日跟进,FALSE,FALSE
t-mobecqyg-01qq,资料补齐,请上传 38-XM-246 生产备货照片,38-XM-246,CN-00038,2026-04-23T11:27:03.544Z,,open,mid,REAL_OPERATION_MEDIUM,FOLLOW_UP_WITH_EVIDENCE,手工创建真实运营任务，18天未处理，无due_at，需工厂上传备货照片，action=upload_document,FALSE,FALSE
t-mobecqyv-o59k,装货安排,请提供 37-XM-243 提货司机信息,37-XM-243,CN-00037,2026-04-23T11:27:03.559Z,,open,mid,REAL_OPERATION_MEDIUM,FOLLOW_UP_TODAY,手工创建真实运营任务，18天未处理，无due_at，需工厂提供司机姓名/车牌/到厂时间，action=fill_driver_info,FALSE,FALSE
t-pt-mqet7ddu,payment_term_confirm,Confirm payment term · FS20260204007,FS20260204007,CN-00036,2026-04-28T16:39:46.666Z,2026-05-01T16:39:46.666Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A(t-pt-前缀)，110ms内批量创建89条之一，source=NULL，created_by_admin=NULL，已逾期10天，无跟进记录，payment_term_confirm action未实现无法正常关闭,FALSE,TRUE
t-pt-xr4u34e4,payment_term_confirm,Confirm payment term · FS20260223069,FS20260223069,CN-00040,2026-04-28T16:39:46.670Z,2026-05-01T16:39:46.670Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-j0q9gfmc,payment_term_confirm,Confirm payment term · FS20260220049,FS20260220049,CN-00037,2026-04-28T16:39:46.672Z,2026-05-01T16:39:46.672Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-neoij88n,payment_term_confirm,Confirm payment term · FS20260220051,FS20260220051,CN-00037,2026-04-28T16:39:46.673Z,2026-05-01T16:39:46.673Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-pjp4nxni,payment_term_confirm,Confirm payment term · FS20260220058,FS20260220058,CN-00037,2026-04-28T16:39:46.675Z,2026-05-01T16:39:46.675Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-runhkm37,payment_term_confirm,Confirm payment term · PBTYF-20260104,PBTYF-20260104,CN-00042,2026-04-28T16:39:46.676Z,2026-05-01T16:39:46.676Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-6yji2qq3,payment_term_confirm,Confirm payment term · FS20260205011,FS20260205011,CN-00048,2026-04-28T16:39:46.677Z,2026-05-01T16:39:46.677Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ny4oh0o9,payment_term_confirm,Confirm payment term · FS20260220040,FS20260220040,CN-00037,2026-04-28T16:39:46.679Z,2026-05-01T16:39:46.679Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
